x,y
230.0,351.0
230.00448611745654,352.002432134867
230.01794411044668,353.00478396565705
230.04037290086083,354.0069751947268
230.07177069194563,355.0089255372981
230.11213496844792,356.0105547278903
230.1614624968161,357.01178252674964
230.21974932545942,358.012528726278
230.28699078506432,359.01271315745754
230.36318148896848,360.01225569627326
230.44831533359257,361.0110762701319
230.54238549892892,362.009094864276
230.64538444908808,363.0062315281942
230.75730393290237,364.0024063820258
230.87813498458704,364.9975396229602
231.00786792445825,365.9915515316293
231.14649235970882,366.9843624784944
231.29399718524047,367.97589293022475
231.45037058455375,368.96606345606915
231.61560003069445,369.954794734219
231.78967228725713,370.9420075581627
231.97257340944554,371.927622843031
232.16428874518976,372.91156163193205
232.36480293631996,373.89374510227714
232.57409991979648,374.87409457209463
232.79216292899707,375.85253150633315
233.01897449505975,376.8289775231533
233.25451644828217,377.8033544002065
233.4987699195775,378.77558408090135
233.75171534198563,379.74558868065657
234.013332452241,380.7132904931409
234.28360029239565,381.67861199649707
234.56249721149823,382.64147585955294
234.8500008673284,383.60180494801585
235.1460882281867,384.55952233065216
235.45073557473967,385.51455128544984
235.7639185019197,386.4668153057649
236.08561192088052,387.4162381064502
236.4157900610067,388.3627436299663
236.75442647197826,389.3062560524749
237.10149402588962,390.2466997899126
237.45696491942263,391.18399950404597
237.82081067607413,392.1180801085071
238.1930021484369,393.0488667748083
238.57350952053497,393.97628493833696
238.96230231021167,394.9002603043284
239.35934937157214,395.82071885381816
239.76461889747782,396.737586849571
240.17807842209493,397.65079084198845
240.59969482349507,398.5602576749924
241.0294343263086,399.46591449188566
241.46726250443044,400.36768874118883
241.9131442837778,401.26550818245175
242.3670439451002,402.1593008920412
242.8289251268405,403.04899526890205
243.29875082804813,403.9345200402938
243.77648341134318,404.81580426749986
244.26208460593122,405.6927773515101
244.75551551066957,406.56536903867703
245.25673659718316,407.4335094263435
245.7657077130317,408.29712896844273
246.2823880849257,409.15615848106916
246.80673632199313,410.0105291480212
247.338710419095,410.86017252631376
247.87826776019057,411.7050205516612
248.4253651217511,412.54500554393024
248.97995867622268,413.3800602125612
249.54200399553696,414.210117661959
250.11145605467033,415.0351113968518
250.68826923525103,415.85497532761843
251.27239732921333,416.66964377558224
251.86379354249942,417.47905147827265
252.46241049880786,418.28313359465363
253.06820024338916,419.0818257103177
253.68111424688703,419.8750638426461
254.3011034092263,420.66278444593485
254.92811806354624,421.4449244164848
255.56210798017915,422.22142109765707
256.2030223706745,422.9922122848924
256.8508098918673,423.75723623069445
257.5054186499915,424.5164316495761
258.16679620483666,425.26973772296907
258.83488957394945,426.01709410409615
259.5096452368775,426.75844092280533
260.19100913945726,427.4937187903663
260.8789266981442,428.2228688042275
261.57334280438533,428.9458325527355
262.2742018290338,429.6625521198134
262.9814476268058,430.37297008960144
263.6950235407776,431.0770295510556
264.4148724069248,431.7746741025072
265.1409365587018,432.4658478561814
265.8731578316609,433.1504954426739
266.61147756811215,433.8285620153866
267.3558366218224,434.49999325492143
268.10617536275333,435.164735373432
268.86243368183847,435.82273511893214
269.62455099579836,436.4739397795621
270.39246625199405,437.1182971878113
271.16611793331776,437.75575572469734
271.94544406312093,438.38626432390095
272.73038221017947,439.00977247585735
273.52086949369465,439.62623023180214
274.31684258833076,440.2355882077728
275.1182377292879,440.83779758856485
275.9249907174102,441.4328101316423
276.73703692432866,442.0205781710024
277.5543112976385,442.601054620994
278.3767483661106,443.1741929800895
279.20428224493617,443.7399473346107
280.0368466410049,444.2982723624058
280.87437485821545,444.8491233364811
281.7167998028188,445.3924561285836
282.56405398879247,445.928227212736
283.4160695432474,446.45639366872376
284.2727782118646,446.9769131855335
285.13411136436355,447.4897440647419
286.0,447.99484522385717
286.8703747530929,448.4921761996089
287.7451658985821,448.9816971511906
288.62430335761354,449.4633688634506
289.50771670315316,449.9371527500341
290.39533516562915,450.4030108564738
291.2870876386006,450.8609058632307
292.1829026844546,451.3108010886837
293.0827085401282,451.7526604920682
293.986433122858,452.18644867636283
294.8940040359541,452.61213089112584
295.8053485746003,453.0296730352784
296.72039373167786,453.4390416598365
297.63906620361445,453.84020397059066
298.56129239625625,454.233127830733
299.4869984307636,454.6177817634314
300.41611014952935,454.99413495435175
301.34855312211954,455.3621572541257
302.28425265123605,455.7218191807665
303.22313377870034,456.0730919220303
304.1651212914587,456.4159473377248
305.11013972760713,456.75035796196306
306.0581133824365,457.07629700536404
307.00896631449757,457.3937383571986
307.9626223516844,457.7026565874812
308.91900509733625,458.0030269490071
309.8780379363579,458.2948253793347
310.8396440413573,458.57802850271366
311.8037463787999,458.85261363195684
312.77026771517984,459.11855877025806
313.7391306232072,459.37584261295433
314.7102574880103,459.6244445492326
315.683570513354,459.86434466378046
316.6589917278711,460.0955237383821
317.63644299130925,460.31796325345744
318.6158460007902,460.53164538954593
319.59712229708305,460.73655302873397
320.5801932708891,460.93266975602626
321.5649801691394,461.1199798606608
322.55140410130383,461.2984683373673
323.5393860457105,461.4681208875696
324.5288468558764,461.6289239205307
325.5197072668478,461.78086455444196
326.5118879015499,461.9239306174544
327.5053092771458,462.0581106486546
328.4998918114038,462.18339389898205
329.49555582907277,462.2997703320908
330.4922215682645,462.40723062515326
331.48980918684396,462.5057661696069
332.4882387688248,462.5953690718442
333.4874303307717,462.67603215384463
334.48730382820776,462.74774895375003
335.4877791620267,462.81051372638206
336.4887761849097,462.8643214437024
337.4902147077455,462.9091677952158
338.492014506055,462.945049188315
339.49409532641744,462.97196274856896
340.4963768928995,462.98990631995275
341.4987789134864,462.99887846502054
